data,db_index,unique,trial_num,ascending_time,descending_time,condition_time
no_index,no_index,no_index,49,0.41878628730773926,0.17885398864746094,0.33567333221435547
asc,1,True,39,0.44010329246520996,0.19727206230163574,0.34775686264038086
desc,1,True,39,0.1955862045288086,0.4215888977050781,0.10486388206481934
desc,1,False,39,0.3980095386505127,0.4112389087677002,0.10554909706115723
asc,-1,True,39,0.4092261791229248,0.4141252040863037,0.10484552383422852
asc,1,False,39,0.4116017818450928,0.4147183895111084,0.10151505470275879
desc,-1,False,39,0.41264939308166504,0.4162905216217041,0.09821295738220215
desc,-1,True,39,0.40747666358947754,0.42847418785095215,0.10295748710632324
asc,-1,False,39,0.4309210777282715,0.4366476535797119,0.10135364532470703
no_index,no_index,no_index,49,0.4244091510772705,0.18437552452087402,0.32880401611328125
asc,1,True,40,0.4507427215576172,0.19538116455078125,0.34594202041625977
desc,1,True,40,0.1957988739013672,0.4226951599121094,0.10467863082885742
desc,1,False,40,0.4025692939758301,0.41873908042907715,0.09944820404052734
asc,-1,True,40,0.400742769241333,0.41638660430908203,0.10235214233398438
asc,1,False,40,0.3992023468017578,0.4172396659851074,0.10078287124633789
desc,-1,False,40,0.41264843940734863,0.4168243408203125,0.09841537475585938
desc,-1,True,40,0.42136669158935547,0.43139195442199707,0.10649967193603516
asc,-1,False,40,0.4193539619445801,0.43302249908447266,0.09980487823486328
no_index,no_index,no_index,49,0.4215052127838135,0.17905282974243164,0.3339407444000244
asc,1,True,41,0.4452791213989258,0.19089698791503906,0.35282397270202637
desc,1,True,41,0.196061372756958,0.4246394634246826,0.10608053207397461
desc,1,False,41,0.4009852409362793,0.4112377166748047,0.10117363929748535
asc,-1,True,41,0.41039347648620605,0.4227259159088135,0.10170125961303711
asc,1,False,41,0.3992166519165039,0.4129374027252197,0.09825825691223145
desc,-1,False,41,0.4140200614929199,0.41985511779785156,0.10017895698547363
